year,interest_rate,exchg_rate_index,exchg_gbp_into_usd,exchg_gbp_into_eur,cpi,gdp_deflator_growth,gdp_m,unemployment_rate,gfcf,started_dwellings,completed_dwellings,capital_account_balance,trade_pct_of_gdp,randd_exp_pct_of_gdp,manuf_val_added_pct_of_gdp,urban_pop_pct,exports_total,imports_total,balance_total,goods_imports_total,goods_exports_total,goods_balance_total,goods_balance_eu,goods_balance_non_eu,goods_exports_eu,goods_imports_eu,goods_exports_non_eu,goods_imports_non_eu,services_exports_total,services_imports_total,services_balance_total,pub_sec_net_debt_m,pub_sec_net_debt_pct_of_gdp,pub_sec_deficit_m,pub_sec_receipts_m,pub_sec_expenditure_m,population,life_expectancy,mean_household_income,median_household_income,gini_coefficient,poverty_rate,child_poverty_rate,gdp_deflator_index,gdp_per_capita,gdp_growth_rate
1988,9.935425,99.74703333333333,0.5622166666666667,0.667575,NA,6.1,1471002,8.6,NA,259140,232940,-10275.665863799859,47.343742365699804,NA,NA,78.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,825478.4910585886,52183783.435554065,51399934.56517446,56916400,75.2593,507.85145,434.55368,0.3225789,0.39464590128394983,0.4636378898182978,0.37953744815110324,25844.958570816143,0.05421495492538447
1989,13.666233333333334,96.47385,0.6111833333333333,0.6820666666666667,5.2,8,1506644,7.2,NA,207850,216630,-13661.853949971319,48.6599718982122,NA,NA,78.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760428.5493225107,52625949.338644885,51909921.814659774,57076500,75.3971,515.62508,440.77249,0.3268299,0.3874515902701613,0.4588875819796652,0.40990044400319153,26396.923427329988,0.024229742719588415
1990,14.643116666666666,95.92590833333334,0.563075,0.7291000000000001,7,8.5,1515202,7.1,NA,171630,202510,49916.58289818356,48.2329411879358,NA,16.4860360938355,78.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1184507.0212055452,51465346.06486233,52696621.77635087,57237500,75.7377,534.12006,448.74747,0.3391206,0.3775732284601142,0.4673996009857998,0.4447419817434628,26472.190434592707,0.005680173949519594
1991,11.569983333333333,96.61511666666667,0.5668416666666667,0.7141833333333333,7.5,6.7,1493903,8.9,NA,170680,191020,-11590.178995584556,45.2998069343145,NA,16.0863945021807,78.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4043918.8168230476,49626406.96223956,53715000.650827415,57438700,75.9108,539.87107,447.33289,0.3408231,0.3793719381938453,0.46632616603802185,0.4745396945202748,26008.649220821502,-0.014056871625037454
1992,9.428058333333334,93.50741666666667,0.5695749999999999,0.7525583333333333,4.2,3.3,1498023,9.9,NA,164150,179100,7139.950098485602,46.2897460463871,NA,15.870870613089,78.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8194214.730170561,48689971.70303847,56928454.12381964,57584500,76.3074,538.99379,451.54529,0.3403351,0.380980037283988,0.46075671599421714,0.4901995044394438,26014.3441377454,0.002757876515409635
1993,5.888633333333333,85.18880833333333,0.6660416666666666,0.7935833333333333,2.5,3,1532082,10.4,NA,193370,185660,6337.819782289577,49.7307933489136,NA,15.5106709582979,78.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46523558.33936942,29.7,-10178340.513488865,47848162.67386795,57999171.33954569,57713900,76.1602,543.30995,450.49823,0.339653,NA,NA,0.5049054895726272,26546.152659931144,0.022735966003192207
1994,5.337783333333333,85.52359166666666,0.6532,0.7859166666666667,2,1.8,1584459,9.5,NA,210980,192980,-49027.8298482617,51.8679570207033,NA,16.2247406051562,78.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54164078.68950816,33.6,-9043299.948440082,50361698.107942976,59454414.99599202,57862100,76.7198,549.63615,455.73462,0.3324531,0.3673249240535151,0.4521454872525115,0.5139937883849345,27383.364931449083,0.034186812455208014
1995,6.569191666666667,81.88161666666667,0.6337833333333334,0.8402166666666666,2.6,2.6,1622576,8.6,NA,178380,199140,18393.590052605996,50.9957797486632,NA,15.3378842395037,78.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59466287.01543547,35.7,-7425700.891340731,53384266.32113357,60885248.194442175,58024800,76.614,554.61258,458.37454,0.3329828,0.36141532364489465,0.4469138467285112,0.5273576268829427,27963.49147261171,0.024056791624144265
1996,5.8846,83.28128333333333,0.6408833333333334,0.8276833333333333,2.4,4.1,1665005,8.1,NA,185820,189040,146817.9246996884,52.2438084688564,1.5754,15.1353911513605,78.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62279216.4451904,36.7,-5435542.026102608,53703118.78664694,59359434.16850143,58164400,76.8719,576.58901,480.47693,0.3329819,0.3364096492141849,0.4233280084606398,0.5489792895851433,28625.84329933774,0.02614916034749682
1997,6.5423,95.7465,0.6107916666666666,0.6912083333333333,1.8,0,1746257,6.9,279982,200810,191130,92717.52316642854,50.9734058453648,1.53729,14.9484217095568,78.472,429523,376849,52674,270222,278199,7977,18397,-8240,159275,140878,119284,127524,147290,106452,40838,66487025.453332834,37.2,-3517801.1933007226,58302928.01061285,61871732.94946683,58314200,77.1389,594.6721,491.87305,0.3401917,0.3207151823035691,0.4072750647876126,0.5489792895851433,29945.656461033504,0.04879985345389353
1998,7.230066666666667,99.494225,0.6036,0.6722916666666667,1.6,1.3,1802946,6.2,297889,187910,181030,-46932.652620914065,49.3364553465645,1.54777,14.3906716167535,78.532,440390,403285,37105,289024,277689,-11335,14972,-24190,165881,150909,111946,136136,159894,114125,45769,65507913.21762067,35.6,-693020.8551762559,62944779.00130453,63637799.85648079,58474900,77.2745,618.4035,501.82516,0.3480506,0.30897364583167014,0.39700851135339527,0.5561160203497502,30832.8188675825,0.03246314832238325
1999,5.344883333333334,98.854825,0.6180833333333333,0.659125,1.3,1.4,1856033,6,302301,191140,181990,-45752.659609134294,49.6314395043173,1.62269,13.7917350428661,78.591,455673,433292,22381,309241,285126,-24115,10848,-32757,172195,161347,113037,145794,168024,124252,43772,65312808.271489,34.2,1357328.9017376509,65835062.46741497,64477733.565677315,58684400,77.3728,634.69238,519.84760000000006,0.3457155,0.2888916076892804,0.3720441440122276,0.5639016446346466,31627.366046172407,0.029444586804041828
